article_id,year,corpus,article_type
1106715,2015,opinions,column
1106714,2015,opinions,column
1106820,2015,opinions,column
1106740,2015,news,news
1106686,2015,news,news
1106725,2015,news,news
1106717,2015,news,news
1106071,2015,news,news
1106743,2015,news,news
1106842,2015,opinions,column
1106819,2015,opinions,column
1106732,2015,news,news
1106824,2015,news,news
1106811,2015,news,news
1106822,2015,news,news
1106858,2015,news,news
1106823,2015,news,news
1106948,2015,news,news
1106947,2015,opinions,column
1106949,2015,opinions,column
1106816,2015,news,news
1106993,2015,news,news
1106924,2015,news,news
1106942,2015,news,news
1106910,2015,news,news
1106976,2015,news,news
1106960,2015,news,news
1106927,2015,news,news
1107064,2015,opinions,column
1107065,2015,opinions,op-ed
1107069,2015,opinions,column
1107063,2015,opinions,column
1107122,2015,news,news
1107087,2015,news,news
1107093,2015,news,news
1107095,2015,news,news
1107130,2015,news,news
1107286,2015,opinions,opinion
1106914,2015,news,news
1107155,2015,news,news
1106940,2015,news,news
1107283,2015,opinions,op-ed
1107062,2015,news,news
1107341,2015,opinions,column
1107312,2015,news,news
1107284,2015,news,news
1107296,2015,news,news
1107268,2015,news,news
1107368,2015,opinions,column
1107352,2015,news,news
1107356,2015,news,news
1107408,2015,news,news
1107340,2015,news,news
1107465,2015,news,news
1107387,2015,opinions,op-ed
1107443,2015,opinions,column
1107442,2015,opinions,column
1107478,2015,opinions,opinion
1107434,2015,opinions,column
1107413,2015,news,news
